349	10	1	1	132	0	2	3
349	10	1	2	81	6171	1	1
349	10	1	3	61	5414	2	4
349	10	2	1	132	0	2	3
349	10	2	2	81	6173	1	1
349	10	2	3	61	6172	2	4
349	10	3	1	132	0	2	3
349	10	3	2	81	6175	1	1
349	10	3	3	61	6174	2	4
349	10	4	1	132	0	2	3
349	10	4	2	81	6177	1	1
349	10	4	3	61	6176	2	4
349	10	5	1	132	0	2	3
349	10	5	2	81	6178	1	1
349	10	5	3	61	5240	2	4
349	10	6	1	132	0	2	3
349	10	6	2	81	6179	1	1
349	10	6	3	61	5028	2	4
349	10	7	1	131	0	2	3
349	10	7	2	80	6181	1	1
349	10	7	3	60	6180	2	4
349	10	8	1	132	0	2	3
349	10	8	2	81	6183	1	1
349	10	8	3	61	6182	2	4
349	10	9	1	132	0	2	3
349	10	9	2	81	6184	1	1
349	10	9	3	61	5010	2	4
349	10	10	1	131	0	2	3
349	10	10	2	80	6185	1	1
349	10	10	3	60	5012	2	4
349	10	11	1	131	0	2	3
349	10	11	2	80	6186	1	1
349	10	11	3	60	5841	2	4
349	10	12	1	131	0	2	3
349	10	12	2	80	6187	1	1
349	10	12	3	60	5893	2	4
349	10	13	1	131	0	2	3
349	10	13	2	80	6189	1	1
349	10	13	3	60	6188	2	4
349	10	14	1	131	0	2	3
349	10	14	2	80	6191	1	1
349	10	14	3	60	6190	2	4
349	10	15	1	131	0	2	3
349	10	15	2	80	6193	1	1
349	10	15	3	60	6192	2	4
349	10	16	1	131	0	2	3
349	10	16	2	80	6195	1	1
349	10	16	3	60	6194	2	4
349	10	17	1	132	0	2	3
349	10	17	2	81	6196	1	1
349	10	17	3	61	5014	2	4
349	10	18	1	132	0	2	3
349	10	18	2	81	6197	1	1
349	10	18	3	61	5016	2	4
349	10	19	1	132	0	2	3
349	10	19	2	81	6198	1	1
349	10	19	3	61	5018	2	4
349	10	20	1	132	0	2	3
349	10	20	2	81	6199	1	1
349	10	20	3	61	5020	2	4
349	10	21	1	132	0	2	3
349	10	21	2	81	6201	1	1
349	10	21	3	61	6200	2	4
349	10	22	1	132	0	2	3
349	10	22	2	81	6203	1	1
349	10	22	3	61	6202	2	4
349	10	23	1	131	0	2	3
349	10	23	2	80	6204	1	1
349	10	23	3	60	5022	2	4
349	10	24	1	132	0	2	3
349	10	24	2	81	6205	1	1
349	10	24	3	61	5024	2	4
349	10	25	1	132	0	2	3
