7	3	1	F	T	
7	3	2	F	T	
7	3	3	F	T	
7	3	4	F	T	
7	3	5	F	T	
7	3	6	F	T	
7	3	7	F	T	
7	3	8	F	T	
7	3	9	F	T	
7	3	10	F	T	
7	3	11	F	T	
7	3	12	F	T	
7	3	13	F	T	
7	3	14	F	T	
7	3	15	F	T	
7	3	16	F	T	
7	3	17	F	T	
7	3	18	F	T	
7	3	19	F	T	
7	3	20	F	T	
7	3	21	F	T	
7	3	22	F	T	
7	3	23	F	T	
7	3	25	F	T	
7	3	26	F	T	
7	3	27	F	T	
7	3	28	F	T	
7	3	29	F	T	
7	3	30	F	T	
7	3	31	F	T	
7	3	32	F	T	
7	3	33	F	T	
7	3	34	F	T	
7	3	35	F	T	
7	3	36	F	T	
7	3	37	F	T	
7	3	39	F	T	
7	3	40	F	T	
7	3	41	F	T	
7	3	42	F	T	
7	3	43	F	T	
7	3	44	F	T	
7	3	45	F	T	
7	3	46	F	T	
7	3	47	F	T	
7	3	48	F	T	
7	3	49	F	T	
7	3	50	F	T	
7	3	51	F	T	
7	3	52	F	T	
7	3	53	F	T	
7	3	54	F	T	
7	3	55	F	T	
7	3	56	F	T	
7	3	57	F	T	
7	3	58	F	T	
7	3	60	F	T	
7	3	61	F	T	
7	3	62	F	T	
7	3	63	F	T	
7	3	64	F	T	
7	3	65	F	T	
7	3	66	F	T	
7	3	67	F	T	
7	3	68	F	T	
7	3	69	F	T	
7	3	70	F	T	
7	3	71	F	T	
7	3	72	F	T	
7	3	73	F	T	
7	3	74	F	T	
7	3	76	F	T	
7	3	77	F	T	
7	3	78	F	T	
7	3	79	F	T	
7	3	80	F	T	
7	3	81	F	T	
7	3	82	F	T	
7	3	83	F	T	
7	3	84	F	T	
7	3	86	F	T	
7	3	87	F	T	
7	3	88	F	T	
7	3	89	F	T	
7	3	90	F	T	
7	3	91	F	T	
7	3	92	F	T	
7	3	93	F	T	
7	3	94	F	T	
7	3	95	F	T	
7	3	96	F	T	
7	3	97	F	T	
7	3	98	F	T	
7	3	99	F	T	
7	3	100	F	T	
7	3	101	F	T	
7	3	102	F	T	
7	3	103	F	T	
7	3	104	F	T	
7	3	105	F	T	
7	3	106	F	T	
7	3	107	F	T	
7	3	108	F	T	
7	3	109	F	T	
7	3	110	F	T	
7	3	111	F	T	
7	3	112	F	T	
7	3	113	F	T	
7	5	9	F	F	
7	5	60	F	F	
7	5	71	F	F	
7	6	12	F	F	
7	6	60	F	F	
7	7	16	F	F	
7	7	70	F	F	
7	8	19	F	F	
7	8	70	F	F	
7	9	18	F	F	
7	9	20	F	F	
7	9	79	F	F	
7	9	98	F	F	
7	10	31	F	F	
7	10	70	F	F	
7	11	34	F	F	
7	11	70	F	F	
7	12	35	F	F	
7	12	60	F	F	
7	13	36	F	F	
7	13	41	F	F	
7	13	70	F	F	
7	13	107	F	F	
7	14	45	F	F	
7	14	60	F	F	
7	14	99	F	F	
7	15	18	F	F	
7	15	49	F	F	
7	15	60	F	F	
7	15	70	F	F	
7	16	51	F	F	
7	16	52	F	F	
7	16	53	F	F	
7	17	51	F	F	
7	17	52	F	F	
7	17	53	F	F	
7	18	56	F	F	
7	18	58	F	F	
7	19	56	F	F	
7	19	61	F	F	
7	19	92	F	F	
7	20	88	F	F	
7	20	95	F	F	
7	21	62	F	F	
7	21	70	F	F	
7	22	69	F	F	
7	22	96	F	F	
7	23	64	F	F	
7	23	98	F	F	
7	24	18	F	F	
7	24	98	F	F	
7	25	18	F	F	
7	25	31	F	F	
7	25	49	F	F	
7	25	70	F	F	
7	26	60	F	F	
7	26	71	F	F	
7	27	61	F	F	
7	27	72	F	F	
7	28	56	F	F	
7	28	61	F	F	
7	28	104	F	F	
7	29	61	F	F	
7	29	106	F	F	
7	30	3	F	F	
7	30	107	F	F	
7	30	108	F	F	
